review_id,review_date,channel,topic,district,review_text,sentiment_label
R00001,2024-01-16,Facebook,Delivery,Karonga,The app was easy to use and checkout was smooth.,positive
R00002,2024-01-11,WhatsApp,App,Mzuzu,I am happy with the customer care and product availability.,positive
R00003,2025-06-21,App Review,Service,Salima,I am happy with the customer care and product availability.,positive
R00004,2025-05-15,Facebook,App,Thyolo,I could not find the product and prices were confusing.,negative
R00005,2025-08-15,App Review,Delivery,Rumphi,I am happy with the customer care and product availability.,positive
R00006,2024-10-26,WhatsApp,Product Availability,Rumphi,The shop was open and stocked as usual.,neutral
R00007,2025-01-26,WhatsApp,Delivery,Mzimba,Delivery was quick and the product quality was excellent.,positive
R00008,2025-08-22,Email,Pricing,Salima,"Very good experience, clean shop and fair prices.",positive
R00009,2025-07-02,Survey,Delivery,Rumphi,The order was completed without any major issue.,neutral
R00010,2025-12-25,Email,Product Availability,Lilongwe,The app was easy to use and checkout was smooth.,positive
R00011,2024-11-26,Survey,Delivery,Kasungu,The app kept failing and payment did not go through.,negative
R00012,2025-09-04,Survey,Delivery,Rumphi,Delivery was quick and the product quality was excellent.,positive
R00013,2024-01-30,WhatsApp,Service,Mzuzu,The queue was too long and staff were rude.,negative
R00014,2025-03-16,WhatsApp,Delivery,Dedza,I could not find the product and prices were confusing.,negative
R00015,2024-12-13,Survey,Pricing,Salima,The queue was too long and staff were rude.,negative
R00016,2024-10-18,WhatsApp,App,Blantyre,The queue was too long and staff were rude.,negative
R00017,2024-10-08,Email,App,Kasungu,"Very good experience, clean shop and fair prices.",positive
R00018,2024-05-19,WhatsApp,Service,Salima,I am happy with the customer care and product availability.,positive
R00019,2025-10-09,Facebook,Service,Lilongwe,Delivery was quick and the product quality was excellent.,positive
R00020,2025-06-23,Email,Pricing,Dedza,The queue was too long and staff were rude.,negative
R00021,2024-03-30,WhatsApp,Delivery,Kasungu,The order was completed without any major issue.,neutral
R00022,2025-10-07,Facebook,Pricing,Thyolo,The process was normal and the prices were average.,neutral
R00023,2025-07-11,App Review,Delivery,Dedza,The process was normal and the prices were average.,neutral
R00024,2024-11-20,WhatsApp,App,Lilongwe,The process was normal and the prices were average.,neutral
R00025,2024-12-26,Email,Pricing,Rumphi,I am happy with the customer care and product availability.,positive
R00026,2024-02-23,Email,Service,Mzuzu,"Very good experience, clean shop and fair prices.",positive
R00027,2025-04-06,Survey,Service,Kasungu,I am happy with the customer care and product availability.,positive
R00028,2025-11-19,App Review,Product Availability,Blantyre,I could not find the product and prices were confusing.,negative
R00029,2025-05-03,App Review,App,Blantyre,Delivery was late and the item was damaged.,negative
R00030,2024-10-28,WhatsApp,Pricing,Mangochi,The app kept failing and payment did not go through.,negative
R00031,2024-09-06,App Review,Service,Kasungu,Delivery was late and the item was damaged.,negative
R00032,2025-07-08,App Review,Product Availability,Blantyre,The app kept failing and payment did not go through.,negative
R00033,2025-04-06,Survey,Service,Mangochi,The service was poor and no one helped me.,negative
R00034,2025-03-23,App Review,Product Availability,Mzimba,"Very good experience, clean shop and fair prices.",positive
R00035,2024-01-05,App Review,Service,Mzuzu,I am happy with the customer care and product availability.,positive
R00036,2025-03-04,WhatsApp,Delivery,Mzuzu,I bought what I needed and left.,neutral
R00037,2025-09-17,App Review,Product Availability,Dedza,I could not find the product and prices were confusing.,negative
R00038,2024-05-20,Facebook,App,Mangochi,I could not find the product and prices were confusing.,negative
R00039,2024-10-05,Email,Delivery,Lilongwe,Delivery was quick and the product quality was excellent.,positive
R00040,2024-07-03,Facebook,Delivery,Thyolo,Delivery was quick and the product quality was excellent.,positive
R00041,2025-01-25,WhatsApp,Service,Zomba,"Very good experience, clean shop and fair prices.",positive
R00042,2024-03-03,Survey,Product Availability,Dedza,Delivery was quick and the product quality was excellent.,positive
R00043,2024-10-20,Facebook,App,Blantyre,I could not find the product and prices were confusing.,negative
R00044,2024-02-10,Survey,Product Availability,Rumphi,The order was completed without any major issue.,neutral
R00045,2024-04-01,Facebook,Product Availability,Kasungu,The app was easy to use and checkout was smooth.,positive
R00046,2025-08-01,Email,Product Availability,Lilongwe,I am happy with the customer care and product availability.,positive
R00047,2025-03-11,WhatsApp,Delivery,Blantyre,The queue was too long and staff were rude.,negative
R00048,2025-08-30,App Review,Service,Blantyre,The queue was too long and staff were rude.,negative
R00049,2024-12-07,Email,Delivery,Mzuzu,The service was poor and no one helped me.,negative
R00050,2024-05-19,WhatsApp,Pricing,Salima,I could not find the product and prices were confusing.,negative
R00051,2025-01-01,Survey,Service,Mzuzu,The product was available in the branch.,neutral
R00052,2025-08-20,Email,Pricing,Kasungu,The process was normal and the prices were average.,neutral
R00053,2025-10-08,Email,Pricing,Mzuzu,The app kept failing and payment did not go through.,negative
R00054,2024-10-07,Facebook,Pricing,Dedza,"Very good experience, clean shop and fair prices.",positive
R00055,2025-11-12,App Review,Pricing,Rumphi,The service was fast and the staff were helpful.,positive
R00056,2025-09-15,WhatsApp,Service,Blantyre,Delivery was late and the item was damaged.,negative
R00057,2024-04-29,App Review,Pricing,Mzimba,I am happy with the customer care and product availability.,positive
R00058,2024-11-09,Survey,App,Thyolo,The order was completed without any major issue.,neutral
R00059,2024-12-17,Facebook,Service,Blantyre,I could not find the product and prices were confusing.,negative
R00060,2024-06-23,Survey,Product Availability,Zomba,The app was easy to use and checkout was smooth.,positive
R00061,2025-01-07,Survey,Product Availability,Blantyre,The process was normal and the prices were average.,neutral
R00062,2024-07-27,Email,App,Blantyre,The shop was open and stocked as usual.,neutral
R00063,2025-06-20,App Review,App,Kasungu,The app was easy to use and checkout was smooth.,positive
R00064,2025-05-05,Survey,Product Availability,Mzimba,The product was available in the branch.,neutral
R00065,2024-01-07,Email,Service,Lilongwe,"Very good experience, clean shop and fair prices.",positive
R00066,2025-07-18,Email,Delivery,Blantyre,The service was fast and the staff were helpful.,positive
R00067,2025-04-04,Survey,Service,Thyolo,"Very good experience, clean shop and fair prices.",positive
R00068,2024-11-01,Email,Pricing,Salima,The app was easy to use and checkout was smooth.,positive
R00069,2025-12-12,Facebook,App,Thyolo,"Very good experience, clean shop and fair prices.",positive
R00070,2025-10-25,App Review,Delivery,Kasungu,The service was fast and the staff were helpful.,positive
R00071,2024-12-13,Email,Delivery,Rumphi,I am happy with the customer care and product availability.,positive
R00072,2025-01-19,Facebook,Pricing,Mangochi,I bought what I needed and left.,neutral
R00073,2025-01-03,WhatsApp,Product Availability,Zomba,Delivery was late and the item was damaged.,negative
R00074,2025-09-15,WhatsApp,Service,Blantyre,I could not find the product and prices were confusing.,negative
R00075,2024-05-17,WhatsApp,App,Zomba,I am happy with the customer care and product availability.,positive
R00076,2025-02-19,Email,Pricing,Mzuzu,I am happy with the customer care and product availability.,positive
R00077,2024-10-23,WhatsApp,Pricing,Mzuzu,Delivery was quick and the product quality was excellent.,positive
R00078,2024-12-29,App Review,Service,Mangochi,I am happy with the customer care and product availability.,positive
R00079,2025-07-17,Facebook,App,Lilongwe,The service was poor and no one helped me.,negative
R00080,2024-07-30,Facebook,App,Salima,The shop was open and stocked as usual.,neutral
R00081,2024-01-07,App Review,Delivery,Dedza,I bought what I needed and left.,neutral
R00082,2024-08-19,Facebook,Service,Lilongwe,The app was easy to use and checkout was smooth.,positive
R00083,2024-12-10,Survey,Service,Rumphi,The app was easy to use and checkout was smooth.,positive
R00084,2024-04-23,Facebook,Pricing,Mzuzu,The app was easy to use and checkout was smooth.,positive
R00085,2024-06-27,Email,Delivery,Mzimba,I am happy with the customer care and product availability.,positive
R00086,2025-08-28,Email,App,Dedza,The app was easy to use and checkout was smooth.,positive
R00087,2024-03-02,Survey,Product Availability,Lilongwe,The service was fast and the staff were helpful.,positive
R00088,2025-04-21,Survey,App,Kasungu,The service was fast and the staff were helpful.,positive
R00089,2025-06-18,WhatsApp,App,Salima,"Very good experience, clean shop and fair prices.",positive
R00090,2025-12-29,Survey,Delivery,Mangochi,Delivery was late and the item was damaged.,negative
R00091,2025-04-08,Email,Delivery,Thyolo,The queue was too long and staff were rude.,negative
R00092,2025-03-08,WhatsApp,Delivery,Karonga,The queue was too long and staff were rude.,negative
R00093,2025-07-08,Survey,Service,Mzuzu,I am happy with the customer care and product availability.,positive
R00094,2025-02-12,WhatsApp,Service,Zomba,Delivery was quick and the product quality was excellent.,positive
R00095,2025-09-13,Facebook,Pricing,Mzimba,The process was normal and the prices were average.,neutral
R00096,2024-02-02,App Review,Product Availability,Karonga,I am happy with the customer care and product availability.,positive
R00097,2025-10-04,Email,Delivery,Mangochi,The service was poor and no one helped me.,negative
R00098,2025-03-08,WhatsApp,Pricing,Salima,The service was poor and no one helped me.,negative
R00099,2025-02-25,Email,App,Mangochi,The service was fast and the staff were helpful.,positive
R00100,2025-08-27,WhatsApp,Product Availability,Kasungu,Delivery was quick and the product quality was excellent.,positive
R00101,2024-04-02,Facebook,Delivery,Lilongwe,The order was completed without any major issue.,neutral
R00102,2025-06-01,WhatsApp,Service,Rumphi,I bought what I needed and left.,neutral
R00103,2025-10-09,Email,Product Availability,Salima,"Very good experience, clean shop and fair prices.",positive
R00104,2024-02-12,Facebook,Delivery,Thyolo,The app kept failing and payment did not go through.,negative
R00105,2025-02-07,Facebook,App,Kasungu,"Very good experience, clean shop and fair prices.",positive
R00106,2024-01-31,Survey,Service,Thyolo,The service was fast and the staff were helpful.,positive
R00107,2024-12-13,WhatsApp,Service,Mangochi,I bought what I needed and left.,neutral
R00108,2025-07-25,Survey,App,Rumphi,"Very good experience, clean shop and fair prices.",positive
R00109,2024-10-26,App Review,Delivery,Mangochi,The app was easy to use and checkout was smooth.,positive
R00110,2024-07-29,Facebook,Service,Mzuzu,I bought what I needed and left.,neutral
R00111,2025-02-04,WhatsApp,Service,Mzimba,I am happy with the customer care and product availability.,positive
R00112,2025-04-13,Facebook,Pricing,Rumphi,I bought what I needed and left.,neutral
R00113,2025-11-25,Email,App,Zomba,The shop was open and stocked as usual.,neutral
R00114,2025-03-06,Email,Product Availability,Mzuzu,The order was completed without any major issue.,neutral
R00115,2024-03-11,Facebook,Service,Salima,The service was fast and the staff were helpful.,positive
R00116,2024-01-31,Facebook,Pricing,Blantyre,The queue was too long and staff were rude.,negative
R00117,2025-09-02,Facebook,Product Availability,Kasungu,"Very good experience, clean shop and fair prices.",positive
R00118,2024-09-17,App Review,Pricing,Rumphi,The shop was open and stocked as usual.,neutral
R00119,2024-10-22,Email,Service,Zomba,I bought what I needed and left.,neutral
R00120,2024-08-18,WhatsApp,Service,Kasungu,The service was poor and no one helped me.,negative
R00121,2024-01-24,App Review,Product Availability,Dedza,I am happy with the customer care and product availability.,positive
R00122,2024-12-21,Facebook,App,Karonga,The service was fast and the staff were helpful.,positive
R00123,2024-01-30,Survey,App,Kasungu,The shop was open and stocked as usual.,neutral
R00124,2024-05-12,App Review,Product Availability,Thyolo,The service was fast and the staff were helpful.,positive
R00125,2024-11-24,App Review,Delivery,Karonga,The service was poor and no one helped me.,negative
R00126,2025-06-10,Facebook,App,Mzuzu,The product was available in the branch.,neutral
R00127,2024-05-17,App Review,Pricing,Mzimba,I could not find the product and prices were confusing.,negative
R00128,2024-12-24,Survey,App,Zomba,The shop was open and stocked as usual.,neutral
R00129,2024-03-10,Email,App,Kasungu,The service was poor and no one helped me.,negative
R00130,2024-05-03,Email,Product Availability,Mzuzu,The service was fast and the staff were helpful.,positive
R00131,2025-04-17,Facebook,Product Availability,Thyolo,I bought what I needed and left.,neutral
R00132,2024-09-26,Survey,Pricing,Mzuzu,The shop was open and stocked as usual.,neutral
R00133,2025-06-20,Facebook,App,Salima,The process was normal and the prices were average.,neutral
R00134,2024-06-26,WhatsApp,App,Karonga,I could not find the product and prices were confusing.,negative
R00135,2024-10-29,App Review,App,Thyolo,The app kept failing and payment did not go through.,negative
R00136,2025-10-30,App Review,App,Salima,I could not find the product and prices were confusing.,negative
R00137,2024-08-17,Survey,Service,Mzuzu,Delivery was late and the item was damaged.,negative
R00138,2024-02-10,Facebook,Delivery,Karonga,I am happy with the customer care and product availability.,positive
R00139,2024-02-13,Email,Delivery,Karonga,The service was fast and the staff were helpful.,positive
R00140,2024-09-26,Email,Product Availability,Mzimba,The app was easy to use and checkout was smooth.,positive
R00141,2024-12-07,Survey,App,Lilongwe,The shop was open and stocked as usual.,neutral
R00142,2025-11-26,Survey,Pricing,Salima,The service was poor and no one helped me.,negative
R00143,2025-12-19,Email,Pricing,Karonga,I could not find the product and prices were confusing.,negative
R00144,2025-01-28,WhatsApp,Service,Blantyre,"Very good experience, clean shop and fair prices.",positive
R00145,2024-10-07,Survey,Pricing,Salima,Delivery was late and the item was damaged.,negative
R00146,2024-02-23,App Review,Pricing,Mangochi,The app was easy to use and checkout was smooth.,positive
R00147,2024-01-01,Survey,Service,Dedza,The service was fast and the staff were helpful.,positive
R00148,2025-02-24,Facebook,Delivery,Thyolo,I am happy with the customer care and product availability.,positive
R00149,2024-04-08,Email,Pricing,Karonga,The service was poor and no one helped me.,negative
R00150,2025-07-08,Email,Delivery,Karonga,The product was available in the branch.,neutral
R00151,2025-07-19,WhatsApp,App,Lilongwe,"Very good experience, clean shop and fair prices.",positive
R00152,2024-10-26,Survey,Pricing,Salima,The queue was too long and staff were rude.,negative
R00153,2024-01-19,Facebook,App,Mzimba,I bought what I needed and left.,neutral
R00154,2024-12-11,Survey,App,Dedza,The process was normal and the prices were average.,neutral
R00155,2025-07-19,WhatsApp,Pricing,Mangochi,I could not find the product and prices were confusing.,negative
R00156,2025-04-21,Email,App,Salima,The shop was open and stocked as usual.,neutral
R00157,2024-01-16,Facebook,App,Mzimba,The queue was too long and staff were rude.,negative
R00158,2025-04-06,App Review,Service,Rumphi,I am happy with the customer care and product availability.,positive
R00159,2025-07-13,Survey,App,Mangochi,The service was fast and the staff were helpful.,positive
R00160,2024-12-14,Email,Service,Blantyre,The queue was too long and staff were rude.,negative
R00161,2025-09-19,Email,Product Availability,Lilongwe,The process was normal and the prices were average.,neutral
R00162,2024-10-01,App Review,Product Availability,Lilongwe,Delivery was quick and the product quality was excellent.,positive
R00163,2024-11-26,WhatsApp,Pricing,Rumphi,Delivery was quick and the product quality was excellent.,positive
R00164,2025-12-10,Survey,App,Karonga,I bought what I needed and left.,neutral
R00165,2024-02-14,Survey,Service,Salima,I am happy with the customer care and product availability.,positive
R00166,2025-11-12,WhatsApp,Service,Lilongwe,The order was completed without any major issue.,neutral
R00167,2025-01-11,Facebook,App,Mangochi,The queue was too long and staff were rude.,negative
R00168,2024-03-01,App Review,App,Thyolo,"Very good experience, clean shop and fair prices.",positive
R00169,2024-06-08,WhatsApp,Product Availability,Mzuzu,"Very good experience, clean shop and fair prices.",positive
R00170,2025-06-26,App Review,Pricing,Zomba,I could not find the product and prices were confusing.,negative
R00171,2025-01-20,Email,Delivery,Kasungu,"Very good experience, clean shop and fair prices.",positive
R00172,2024-11-09,Survey,Pricing,Blantyre,The product was available in the branch.,neutral
R00173,2024-05-23,App Review,Service,Salima,Delivery was quick and the product quality was excellent.,positive
R00174,2024-06-24,App Review,Delivery,Karonga,I am happy with the customer care and product availability.,positive
R00175,2024-11-30,WhatsApp,Delivery,Salima,The shop was open and stocked as usual.,neutral
R00176,2024-06-19,Facebook,Product Availability,Thyolo,The queue was too long and staff were rude.,negative
R00177,2025-04-11,WhatsApp,Delivery,Thyolo,Delivery was quick and the product quality was excellent.,positive
R00178,2024-03-05,Survey,Service,Zomba,The service was poor and no one helped me.,negative
R00179,2024-06-26,WhatsApp,Product Availability,Dedza,The shop was open and stocked as usual.,neutral
R00180,2025-03-29,Facebook,Delivery,Salima,Delivery was quick and the product quality was excellent.,positive
R00181,2025-02-14,Facebook,Delivery,Mangochi,I bought what I needed and left.,neutral
R00182,2025-03-31,App Review,App,Salima,The app kept failing and payment did not go through.,negative
R00183,2025-04-10,App Review,Service,Mzimba,The process was normal and the prices were average.,neutral
R00184,2024-04-05,Survey,Service,Salima,"Very good experience, clean shop and fair prices.",positive
R00185,2024-07-31,App Review,Product Availability,Mzimba,The product was available in the branch.,neutral
R00186,2024-07-16,App Review,Pricing,Salima,The app kept failing and payment did not go through.,negative
R00187,2024-06-18,Facebook,App,Rumphi,The product was available in the branch.,neutral
R00188,2024-11-14,Survey,Product Availability,Dedza,The app was easy to use and checkout was smooth.,positive
R00189,2024-08-22,WhatsApp,App,Blantyre,The shop was open and stocked as usual.,neutral
R00190,2025-04-26,WhatsApp,Product Availability,Mzuzu,The service was fast and the staff were helpful.,positive
R00191,2024-12-25,Survey,Service,Zomba,The shop was open and stocked as usual.,neutral
R00192,2025-06-03,Survey,App,Mzimba,The service was fast and the staff were helpful.,positive
R00193,2024-07-03,Survey,Delivery,Blantyre,Delivery was quick and the product quality was excellent.,positive
R00194,2025-09-25,Email,Delivery,Zomba,I could not find the product and prices were confusing.,negative
R00195,2025-06-21,App Review,Service,Rumphi,Delivery was quick and the product quality was excellent.,positive
R00196,2025-04-24,Email,Product Availability,Mzuzu,The service was fast and the staff were helpful.,positive
R00197,2025-07-26,Survey,Delivery,Zomba,I am happy with the customer care and product availability.,positive
R00198,2025-12-29,Facebook,Product Availability,Salima,The queue was too long and staff were rude.,negative
R00199,2025-08-01,App Review,Service,Mangochi,The product was available in the branch.,neutral
R00200,2024-03-20,Survey,Service,Mangochi,The order was completed without any major issue.,neutral
R00201,2024-05-11,App Review,Service,Mangochi,The service was poor and no one helped me.,negative
R00202,2024-04-07,WhatsApp,App,Salima,The service was fast and the staff were helpful.,positive
R00203,2024-10-22,WhatsApp,Product Availability,Thyolo,The service was poor and no one helped me.,negative
R00204,2025-11-23,WhatsApp,Service,Blantyre,I bought what I needed and left.,neutral
R00205,2024-02-22,App Review,App,Zomba,The service was poor and no one helped me.,negative
R00206,2025-10-20,Facebook,Pricing,Rumphi,"Very good experience, clean shop and fair prices.",positive
R00207,2024-10-25,Survey,Delivery,Blantyre,The queue was too long and staff were rude.,negative
R00208,2024-07-19,App Review,Delivery,Zomba,Delivery was late and the item was damaged.,negative
R00209,2025-02-11,Email,Product Availability,Mzuzu,"Very good experience, clean shop and fair prices.",positive
R00210,2025-03-28,App Review,App,Thyolo,The product was available in the branch.,neutral
R00211,2024-04-23,Survey,Delivery,Mangochi,The service was fast and the staff were helpful.,positive
R00212,2024-01-22,Email,Service,Kasungu,I could not find the product and prices were confusing.,negative
R00213,2025-09-13,App Review,Service,Salima,"Very good experience, clean shop and fair prices.",positive
R00214,2024-02-21,WhatsApp,Pricing,Kasungu,I bought what I needed and left.,neutral
R00215,2024-01-04,WhatsApp,Delivery,Blantyre,I could not find the product and prices were confusing.,negative
R00216,2025-10-27,Survey,Service,Mzimba,I bought what I needed and left.,neutral
R00217,2024-03-09,Survey,Service,Lilongwe,I bought what I needed and left.,neutral
R00218,2024-04-19,Survey,Product Availability,Mangochi,"Very good experience, clean shop and fair prices.",positive
R00219,2025-03-27,WhatsApp,Pricing,Rumphi,The process was normal and the prices were average.,neutral
R00220,2024-07-28,Survey,App,Mangochi,The app was easy to use and checkout was smooth.,positive
R00221,2025-03-23,WhatsApp,App,Salima,The service was fast and the staff were helpful.,positive
R00222,2025-01-25,Email,Service,Mzimba,"Very good experience, clean shop and fair prices.",positive
R00223,2024-02-09,WhatsApp,Delivery,Salima,The app kept failing and payment did not go through.,negative
R00224,2024-02-22,App Review,App,Zomba,I could not find the product and prices were confusing.,negative
R00225,2025-09-25,App Review,App,Mangochi,I could not find the product and prices were confusing.,negative
R00226,2024-01-29,Survey,App,Dedza,Delivery was late and the item was damaged.,negative
R00227,2025-02-20,Email,Pricing,Salima,The service was poor and no one helped me.,negative
R00228,2024-03-28,WhatsApp,Pricing,Mzimba,"Very good experience, clean shop and fair prices.",positive
R00229,2024-01-24,Survey,Product Availability,Thyolo,Delivery was late and the item was damaged.,negative
R00230,2024-03-07,WhatsApp,Delivery,Blantyre,I bought what I needed and left.,neutral
R00231,2024-05-16,Survey,Service,Lilongwe,The shop was open and stocked as usual.,neutral
R00232,2024-09-25,Facebook,Pricing,Rumphi,The shop was open and stocked as usual.,neutral
R00233,2024-12-20,WhatsApp,Delivery,Zomba,I could not find the product and prices were confusing.,negative
R00234,2025-03-04,Facebook,Product Availability,Kasungu,The product was available in the branch.,neutral
R00235,2025-11-17,WhatsApp,Service,Thyolo,The service was fast and the staff were helpful.,positive
R00236,2025-12-04,WhatsApp,App,Mangochi,The service was poor and no one helped me.,negative
R00237,2024-06-18,Email,Product Availability,Lilongwe,The shop was open and stocked as usual.,neutral
R00238,2024-06-18,Survey,App,Lilongwe,The queue was too long and staff were rude.,negative
R00239,2024-12-21,Email,App,Kasungu,The queue was too long and staff were rude.,negative
R00240,2025-07-03,Facebook,Product Availability,Karonga,The service was poor and no one helped me.,negative
R00241,2024-06-03,Email,Delivery,Lilongwe,I am happy with the customer care and product availability.,positive
R00242,2025-10-26,Email,Service,Zomba,I am happy with the customer care and product availability.,positive
R00243,2024-03-25,Facebook,Service,Zomba,The service was fast and the staff were helpful.,positive
R00244,2024-01-07,Facebook,Pricing,Blantyre,The product was available in the branch.,neutral
R00245,2024-06-30,Email,Delivery,Mangochi,The service was poor and no one helped me.,negative
R00246,2024-07-26,Facebook,Delivery,Salima,The app was easy to use and checkout was smooth.,positive
R00247,2024-04-06,Email,App,Karonga,The service was poor and no one helped me.,negative
R00248,2024-10-10,Survey,Pricing,Thyolo,The service was fast and the staff were helpful.,positive
R00249,2024-02-26,WhatsApp,Pricing,Thyolo,The queue was too long and staff were rude.,negative
R00250,2024-12-31,Facebook,App,Thyolo,The app kept failing and payment did not go through.,negative
R00251,2025-10-21,Email,App,Dedza,The order was completed without any major issue.,neutral
R00252,2024-06-23,WhatsApp,Delivery,Blantyre,The queue was too long and staff were rude.,negative
R00253,2024-06-30,Facebook,Delivery,Mzimba,The service was fast and the staff were helpful.,positive
R00254,2024-03-28,Survey,App,Karonga,The product was available in the branch.,neutral
R00255,2024-01-28,App Review,App,Lilongwe,The process was normal and the prices were average.,neutral
R00256,2025-02-17,App Review,Product Availability,Dedza,The product was available in the branch.,neutral
R00257,2025-12-09,Facebook,Product Availability,Blantyre,I am happy with the customer care and product availability.,positive
R00258,2024-11-03,App Review,App,Karonga,The service was poor and no one helped me.,negative
R00259,2024-12-28,WhatsApp,App,Thyolo,The service was fast and the staff were helpful.,positive
R00260,2024-12-19,App Review,Delivery,Lilongwe,The shop was open and stocked as usual.,neutral
R00261,2025-02-09,WhatsApp,Pricing,Blantyre,The service was fast and the staff were helpful.,positive
R00262,2024-01-31,WhatsApp,Service,Salima,The app kept failing and payment did not go through.,negative
R00263,2024-06-10,WhatsApp,Service,Salima,The app kept failing and payment did not go through.,negative
R00264,2025-10-19,WhatsApp,Delivery,Mzuzu,The app was easy to use and checkout was smooth.,positive
R00265,2025-09-08,Email,Product Availability,Blantyre,The service was poor and no one helped me.,negative
R00266,2025-06-08,App Review,Delivery,Mangochi,"Very good experience, clean shop and fair prices.",positive
R00267,2024-05-02,App Review,App,Karonga,The product was available in the branch.,neutral
R00268,2025-11-23,WhatsApp,App,Mzuzu,I am happy with the customer care and product availability.,positive
R00269,2024-10-22,Survey,Product Availability,Karonga,The app was easy to use and checkout was smooth.,positive
R00270,2025-12-07,Survey,Product Availability,Karonga,The product was available in the branch.,neutral
R00271,2025-04-30,Facebook,App,Salima,The queue was too long and staff were rude.,negative
R00272,2025-05-20,App Review,Delivery,Zomba,Delivery was late and the item was damaged.,negative
R00273,2024-05-22,Survey,Delivery,Rumphi,"Very good experience, clean shop and fair prices.",positive
R00274,2025-04-24,Survey,App,Blantyre,The order was completed without any major issue.,neutral
R00275,2025-06-14,App Review,App,Zomba,The app was easy to use and checkout was smooth.,positive
R00276,2025-11-16,Survey,App,Salima,The queue was too long and staff were rude.,negative
R00277,2025-02-18,Email,Product Availability,Rumphi,I could not find the product and prices were confusing.,negative
R00278,2024-10-28,Survey,Product Availability,Kasungu,The process was normal and the prices were average.,neutral
R00279,2025-11-11,Facebook,Service,Blantyre,The queue was too long and staff were rude.,negative
R00280,2025-04-17,Email,App,Kasungu,I am happy with the customer care and product availability.,positive
R00281,2025-12-23,Email,App,Rumphi,The service was fast and the staff were helpful.,positive
R00282,2025-05-10,Email,App,Mzimba,The app was easy to use and checkout was smooth.,positive
R00283,2024-10-21,Facebook,App,Thyolo,The queue was too long and staff were rude.,negative
R00284,2025-01-23,WhatsApp,Delivery,Mzuzu,The app was easy to use and checkout was smooth.,positive
R00285,2025-02-19,WhatsApp,Pricing,Mzuzu,"Very good experience, clean shop and fair prices.",positive
